pv,upper,lower,precision,drive_high,drive_low,scan
SR01LM-PC-SEXT-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-SEXT-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-SEXT-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-SEXT-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-SEXT-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-SEXT-05:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-SEXT-05:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-SEXT-06:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-SEXT-06:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-SEXT-07:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-SEXT-07:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-SQUAD-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-SQUAD-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-SQUAD-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-SQUAD-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-SQUAD-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-SQUAD-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-SQUAD-05:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-SQUAD-05:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-SQUAD-06:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-SQUAD-06:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-SQUAD-07:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-SQUAD-07:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-VSTR-00:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-VSTR-00:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-VSTR-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-VSTR-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-VSTR-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-VSTR-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-VSTR-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-VSTR-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-VSTR-05:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-VSTR-05:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-VSTR-06:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-VSTR-06:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01LM-PC-VSTR-07:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01LM-PC-VSTR-07:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-ABQ-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-ABQ-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-ABQ-04:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-ABQ-04:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-DQ-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-DQ-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-HSTR-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-HSTR-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-HSTR-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-HSTR-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-HSTR-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-HSTR-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-HSTR-13:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-HSTR-13:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-HSTR-14:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-HSTR-14:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-OCT-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-OCT-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-QUAD-07:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-QUAD-07:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-QUAD-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-QUAD-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-QUAD-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-QUAD-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-QUAD-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-QUAD-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-QUAD-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-QUAD-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-QUAD-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-QUAD-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-SEXT-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-SEXT-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-SEXT-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-SEXT-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-SEXT-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-SEXT-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-SEXT-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-SEXT-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-SEXT-13:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-SEXT-13:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-SEXT-14:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-SEXT-14:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-SQUAD-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-SQUAD-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-SQUAD-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-SQUAD-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-SQUAD-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-SQUAD-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-SQUAD-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-SQUAD-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-SQUAD-13:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-SQUAD-13:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-SQUAD-14:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-SQUAD-14:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-VSTR-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-VSTR-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-VSTR-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-VSTR-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-VSTR-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-VSTR-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-VSTR-13:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-VSTR-13:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR01MS-PC-VSTR-14:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR01MS-PC-VSTR-14:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02-PC-DL1:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02-PC-DL1:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02-PC-DL2:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02-PC-DL2:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02-PC-DL3:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02-PC-DL3:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02-PC-DL4:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02-PC-DL4:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02C-DI-EBPM-01:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-01:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-02:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-02:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-03:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-03:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-04:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-04:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-05:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-05:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-06:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-06:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-07:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-07:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-08:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-08:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-09:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-09:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-10:SA:X,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02C-DI-EBPM-10:SA:Y,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-ABQ-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-ABQ-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-ABQ-04:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-ABQ-04:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-DQ-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-DQ-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-HSTR-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-HSTR-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-HSTR-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-HSTR-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-HSTR-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-HSTR-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-HSTR-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-HSTR-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-HSTR-13:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-HSTR-13:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-HSTR-14:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-HSTR-14:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-OCT-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-OCT-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-QUAD-07:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-QUAD-07:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-QUAD-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-QUAD-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-QUAD-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-QUAD-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-QUAD-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-QUAD-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-QUAD-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-QUAD-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-QUAD-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-QUAD-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-SEXT-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-SEXT-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-SEXT-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-SEXT-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-SEXT-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-SEXT-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-SEXT-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-SEXT-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-SEXT-13:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-SEXT-13:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-SEXT-14:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-SEXT-14:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-SQUAD-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-SQUAD-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-SQUAD-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-SQUAD-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-SQUAD-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-SQUAD-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-SQUAD-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-SQUAD-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-SQUAD-13:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-SQUAD-13:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-SQUAD-14:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-SQUAD-14:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-VSTR-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-VSTR-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-VSTR-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-VSTR-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-VSTR-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-VSTR-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-VSTR-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-VSTR-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-VSTR-13:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-VSTR-13:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02MS-PC-VSTR-14:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02MS-PC-VSTR-14:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02SI-PC-HSTR-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02SI-PC-HSTR-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02SI-PC-HSTR-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02SI-PC-HSTR-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02SI-PC-VSTR-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02SI-PC-VSTR-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02SI-PC-VSTR-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02SI-PC-VSTR-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02SK-PC-HSTR-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02SK-PC-HSTR-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02SK-PC-HSTR-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02SK-PC-HSTR-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02SK-PC-VSTR-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02SK-PC-VSTR-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02SK-PC-VSTR-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02SK-PC-VSTR-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
